ap     rec    prec   f-measure
0.7037 0.0655 0.8894 0.1220
0.7037 0.0658 0.8899 0.1226
0.7037 0.0662 0.8904 0.1232
0.7037 0.0665 0.8908 0.1237
0.7037 0.0668 0.8913 0.1243
0.7037 0.0671 0.8918 0.1249
0.7037 0.0675 0.8922 0.1255
0.7037 0.0678 0.8927 0.1260
0.7037 0.0681 0.8932 0.1266
0.7037 0.0684 0.8936 0.1272
0.7037 0.0688 0.8941 0.1277
0.7037 0.0691 0.8945 0.1283
0.7037 0.0694 0.8950 0.1289
0.7037 0.0698 0.8954 0.1294
0.7037 0.0701 0.8958 0.1300
0.7037 0.0704 0.8963 0.1306
0.7037 0.0707 0.8967 0.1311
0.7037 0.0711 0.8971 0.1317
0.7037 0.0714 0.8975 0.1322
0.7037 0.0717 0.8980 0.1328
0.7037 0.0720 0.8984 0.1334
0.7037 0.0724 0.8988 0.1339
0.7037 0.0727 0.8992 0.1345
0.7037 0.0730 0.8996 0.1351
0.7037 0.0733 0.9000 0.1356
0.7037 0.0737 0.9004 0.1362
0.7037 0.0740 0.9008 0.1367
0.7037 0.0743 0.9012 0.1373
0.7037 0.0746 0.9016 0.1379
0.7037 0.0750 0.9020 0.1384
0.7037 0.0753 0.9023 0.1390
0.7037 0.0756 0.9027 0.1395
0.7037 0.0759 0.9031 0.1401
0.7037 0.0763 0.9035 0.1407
0.7037 0.0766 0.9038 0.1412
0.7037 0.0769 0.9042 0.1418
0.7037 0.0772 0.9046 0.1423
0.7037 0.0776 0.9049 0.1429
0.7037 0.0779 0.9053 0.1435
0.7037 0.0782 0.9057 0.1440
0.7037 0.0786 0.9060 0.1446
0.7037 0.0789 0.9064 0.1451
0.7037 0.0792 0.9067 0.1457
0.7037 0.0795 0.9071 0.1462
0.7037 0.0799 0.9074 0.1468
0.7037 0.0802 0.9077 0.1473
0.7037 0.0805 0.9081 0.1479
0.7037 0.0808 0.9084 0.1485
0.7037 0.0812 0.9088 0.1490
0.7037 0.0815 0.9091 0.1496
0.7037 0.0818 0.9094 0.1501
0.7037 0.0821 0.9097 0.1507
0.7037 0.0825 0.9101 0.1512
0.7037 0.0828 0.9104 0.1518
0.7037 0.0831 0.9107 0.1523
0.7037 0.0834 0.9110 0.1529
0.7037 0.0838 0.9113 0.1534
0.7037 0.0841 0.9117 0.1540
0.7037 0.0844 0.9120 0.1545
0.7037 0.0847 0.9123 0.1551
0.7037 0.0851 0.9126 0.1556
0.7037 0.0854 0.9129 0.1562
0.7037 0.0857 0.9132 0.1567
0.7037 0.0860 0.9135 0.1573
0.7037 0.0864 0.9138 0.1578
0.7037 0.0867 0.9141 0.1584
0.7037 0.0870 0.9144 0.1589
0.7037 0.0874 0.9147 0.1595
0.7037 0.0877 0.9150 0.1600
0.7037 0.0880 0.9153 0.1606
0.7037 0.0883 0.9155 0.1611
0.7037 0.0887 0.9158 0.1617
0.7037 0.0890 0.9161 0.1622
0.7037 0.0893 0.9164 0.1628
0.7037 0.0896 0.9167 0.1633
0.7037 0.0900 0.9169 0.1638
0.7037 0.0903 0.9172 0.1644
0.7037 0.0906 0.9175 0.1649
0.7037 0.0909 0.9178 0.1655
0.7037 0.0909 0.9148 0.1654
0.7037 0.0909 0.9118 0.1654
0.7037 0.0913 0.9121 0.1659
0.7037 0.0913 0.9091 0.1659
0.7037 0.0916 0.9094 0.1664
0.7037 0.0919 0.9097 0.1670
0.7037 0.0922 0.9100 0.1675
0.7037 0.0926 0.9103 0.1680
0.7037 0.0929 0.9105 0.1686
0.7037 0.0932 0.9108 0.1691
0.7037 0.0935 0.9111 0.1697
0.7037 0.0939 0.9114 0.1702
0.7037 0.0942 0.9117 0.1708
0.7037 0.0945 0.9119 0.1713
0.7037 0.0949 0.9122 0.1718
0.7037 0.0952 0.9125 0.1724
0.7037 0.0955 0.9128 0.1729
0.7037 0.0958 0.9130 0.1735
0.7037 0.0962 0.9133 0.1740
0.7037 0.0965 0.9136 0.1745
0.7037 0.0968 0.9138 0.1751
0.7037 0.0971 0.9141 0.1756
0.7037 0.0975 0.9144 0.1761
0.7037 0.0978 0.9146 0.1767
0.7037 0.0981 0.9149 0.1772
0.7037 0.0984 0.9152 0.1778
0.7037 0.0988 0.9154 0.1783
0.7037 0.0991 0.9157 0.1788
0.7037 0.0994 0.9159 0.1794
0.7037 0.0997 0.9162 0.1799
0.7037 0.1001 0.9164 0.1804
0.7037 0.1004 0.9167 0.1810
0.7037 0.1007 0.9169 0.1815
0.7037 0.1010 0.9172 0.1820
0.7037 0.1014 0.9174 0.1826
0.7037 0.1017 0.9176 0.1831
0.7037 0.1020 0.9179 0.1836
0.7037 0.1023 0.9181 0.1842
0.7037 0.1027 0.9184 0.1847
0.7037 0.1030 0.9186 0.1852
0.7037 0.1033 0.9188 0.1858
0.7037 0.1037 0.9191 0.1863
0.7037 0.1040 0.9193 0.1868
0.7037 0.1043 0.9195 0.1874
0.7037 0.1046 0.9198 0.1879
0.7037 0.1050 0.9200 0.1884
0.7037 0.1053 0.9202 0.1889
0.7037 0.1056 0.9205 0.1895
0.7037 0.1056 0.9178 0.1894
0.7037 0.1056 0.9153 0.1894
0.7037 0.1059 0.9155 0.1899
0.7037 0.1063 0.9157 0.1904
0.7037 0.1066 0.9160 0.1909
0.7037 0.1069 0.9162 0.1915
0.7037 0.1072 0.9164 0.1920
0.7037 0.1076 0.9167 0.1925
0.7037 0.1076 0.9141 0.1925
0.7037 0.1079 0.9144 0.1930
0.7037 0.1082 0.9146 0.1935
0.7037 0.1085 0.9148 0.1941
0.7037 0.1089 0.9151 0.1946
0.7037 0.1092 0.9153 0.1951
0.7037 0.1095 0.9155 0.1956
0.7037 0.1098 0.9158 0.1962
0.7037 0.1102 0.9160 0.1967
0.7037 0.1105 0.9162 0.1972
0.7037 0.1108 0.9164 0.1977
0.7037 0.1111 0.9167 0.1983
0.7037 0.1115 0.9169 0.1988
0.7037 0.1118 0.9171 0.1993
0.7037 0.1121 0.9173 0.1998
0.7037 0.1125 0.9176 0.2003
0.7037 0.1128 0.9178 0.2009
0.7037 0.1131 0.9180 0.2014
0.7037 0.1131 0.9156 0.2013
0.7037 0.1134 0.9158 0.2019
0.7037 0.1138 0.9160 0.2024
0.7037 0.1141 0.9162 0.2029
0.7037 0.1141 0.9138 0.2028
0.7037 0.1144 0.9141 0.2034
0.7037 0.1147 0.9143 0.2039
0.7037 0.1151 0.9145 0.2044
0.7037 0.1154 0.9147 0.2049
0.7037 0.1154 0.9124 0.2049
0.7037 0.1157 0.9126 0.2054
0.7037 0.1160 0.9128 0.2059
0.7037 0.1164 0.9130 0.2064
0.7037 0.1167 0.9133 0.2069
0.7037 0.1170 0.9135 0.2075
0.7037 0.1173 0.9137 0.2080
0.7037 0.1177 0.9139 0.2085
0.7037 0.1180 0.9141 0.2090
0.7037 0.1183 0.9144 0.2095
0.7037 0.1186 0.9146 0.2100
0.7037 0.1190 0.9148 0.2106
0.7037 0.1193 0.9150 0.2111
0.7037 0.1196 0.9152 0.2116
0.7037 0.1199 0.9154 0.2121
0.7037 0.1203 0.9156 0.2126
0.7037 0.1206 0.9158 0.2131
0.7037 0.1209 0.9160 0.2136
0.7037 0.1209 0.9138 0.2136
0.7037 0.1213 0.9140 0.2141
0.7037 0.1216 0.9142 0.2146
0.7037 0.1219 0.9144 0.2151
0.7037 0.1222 0.9146 0.2156
0.7037 0.1226 0.9148 0.2162
0.7037 0.1229 0.9150 0.2167
0.7037 0.1232 0.9153 0.2172
0.7037 0.1235 0.9155 0.2177
0.7037 0.1239 0.9157 0.2182
0.7037 0.1242 0.9159 0.2187
0.7037 0.1245 0.9161 0.2192
0.7037 0.1248 0.9163 0.2197
0.7037 0.1252 0.9165 0.2202
0.7037 0.1255 0.9167 0.2208
0.7037 0.1258 0.9169 0.2213
0.7037 0.1261 0.9171 0.2218
0.7037 0.1265 0.9173 0.2223
0.7037 0.1268 0.9175 0.2228
0.7037 0.1271 0.9176 0.2233
0.7037 0.1274 0.9178 0.2238
0.7037 0.1278 0.9180 0.2243
0.7037 0.1281 0.9182 0.2248
0.7037 0.1284 0.9184 0.2253
0.7037 0.1287 0.9186 0.2258
0.7037 0.1291 0.9188 0.2264
0.7037 0.1294 0.9190 0.2269
0.7037 0.1297 0.9192 0.2274
0.7037 0.1301 0.9194 0.2279
0.7037 0.1304 0.9195 0.2284
0.7037 0.1307 0.9197 0.2289
0.7037 0.1310 0.9199 0.2294
0.7037 0.1314 0.9201 0.2299
0.7037 0.1314 0.9180 0.2298
0.7037 0.1317 0.9182 0.2303
0.7037 0.1320 0.9184 0.2308
0.7037 0.1323 0.9186 0.2313
0.7037 0.1327 0.9187 0.2318
0.7037 0.1330 0.9189 0.2323
0.7037 0.1333 0.9191 0.2328
0.7037 0.1336 0.9193 0.2334
0.7037 0.1340 0.9195 0.2339
0.7037 0.1343 0.9196 0.2344
0.7037 0.1343 0.9176 0.2343
0.7037 0.1343 0.9156 0.2342
0.7037 0.1346 0.9157 0.2347
0.7037 0.1349 0.9159 0.2352
0.7037 0.1349 0.9139 0.2352
0.7037 0.1353 0.9141 0.2357
0.7037 0.1356 0.9143 0.2362
0.7037 0.1359 0.9145 0.2367
0.7037 0.1362 0.9147 0.2372
0.7037 0.1366 0.9148 0.2377
0.7037 0.1369 0.9150 0.2382
0.7037 0.1372 0.9152 0.2387
0.7037 0.1372 0.9132 0.2386
0.7037 0.1372 0.9113 0.2385
0.7037 0.1375 0.9114 0.2390
0.7037 0.1379 0.9116 0.2395
0.7037 0.1379 0.9097 0.2395
0.7037 0.1382 0.9099 0.2400
0.7037 0.1385 0.9101 0.2405
0.7037 0.1385 0.9081 0.2404
0.7037 0.1389 0.9083 0.2409
0.7037 0.1389 0.9064 0.2408
0.7037 0.1392 0.9066 0.2413
0.7037 0.1392 0.9047 0.2412
0.7037 0.1395 0.9049 0.2417
0.7037 0.1398 0.9051 0.2422
0.7037 0.1402 0.9053 0.2427
0.7037 0.1405 0.9055 0.2432
0.7037 0.1408 0.9057 0.2437
0.7037 0.1408 0.9038 0.2437
0.7037 0.1411 0.9040 0.2441
0.7037 0.1411 0.9021 0.2441
0.7037 0.1415 0.9023 0.2446
0.7037 0.1415 0.9004 0.2445
0.7037 0.1418 0.9006 0.2450
0.7037 0.1421 0.9008 0.2455
0.7037 0.1424 0.9010 0.2460
0.7037 0.1424 0.8992 0.2459
0.7037 0.1424 0.8973 0.2459
0.7037 0.1428 0.8975 0.2463
0.7037 0.1431 0.8978 0.2468
0.7037 0.1434 0.8980 0.2473
0.7037 0.1437 0.8982 0.2478
0.7037 0.1441 0.8984 0.2483
0.7037 0.1444 0.8986 0.2488
0.7037 0.1447 0.8988 0.2493
0.7037 0.1450 0.8990 0.2498
0.7037 0.1454 0.8992 0.2503
0.7037 0.1457 0.8994 0.2508
0.7037 0.1460 0.8996 0.2513
0.7037 0.1463 0.8998 0.2518
0.7037 0.1467 0.9000 0.2522
0.7037 0.1470 0.9002 0.2527
0.7037 0.1473 0.9004 0.2532
0.7037 0.1477 0.9006 0.2537
0.7037 0.1480 0.9008 0.2542
0.7037 0.1483 0.9010 0.2547
0.7037 0.1486 0.9012 0.2552
0.7037 0.1490 0.9014 0.2557
0.7037 0.1493 0.9016 0.2562
0.7037 0.1496 0.9018 0.2566
0.7037 0.1499 0.9020 0.2571
0.7037 0.1503 0.9022 0.2576
0.7037 0.1506 0.9023 0.2581
0.7037 0.1506 0.9006 0.2580
0.7037 0.1509 0.9008 0.2585
0.7037 0.1512 0.9010 0.2590
0.7037 0.1516 0.9012 0.2595
0.7037 0.1519 0.9014 0.2600
0.7037 0.1522 0.9015 0.2605
0.7037 0.1525 0.9017 0.2609
